PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
81,32H,32,H,2,1,1,2,6,B,C,L,N,1,,,,,,,,,68,0,0,,,,,0,,,,,,,,,0,0,1081,1551.798,243
81,32H,32,H,2,3,3,4,6,B,D,L,W,1,2,2,12,F,D,E,W,1,64,0,0,,,,,0,64,2,2,,,,,0,0,0,1049,1551.798,243
81,32H,32,H,2,4,3,3,12,F,D,E,W,1,4,5,6,B,D,L,W,1,59,1,1,0,0,0,0,0,59,0,0,,,,,0,0,0,1012,1551.798,243
81,32H,32,H,2,5,5,6,6,B,D,E,W,3,4,4,12,F,D,E,W,1,60,U,10,13,10,2,0,0,60,2,2,2,1,1,1,0,0,1,931,1551.798,243
81,32H,32,H,2,6,5,5,12,F,Z,E,W,1,,,,,,,,,68,1,2,,,,,0,,,,,,,,,0,0,1173,1551.798,243
81,33C,33,C,2,3,2,2,12,F,D,E,W,2,3,2,9,L,P,E,W,1,63,4,4,5,10,7,5,0,,,,,,,,,0,1,1175,42.97778,6.73
81,34G,34,G,2,1,1,2,12,F,Z,E,W,2,,,,,,,,,63,0,0,4,14,3,0,0,,,,,,,,,0,1,1175,1111.164,174
81,34G,34,G,2,2,1,1,9,L,F,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1081,1111.164,174
81,35B,35,B,2,1,1,2,10,L,D,E,W,4,3,61,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,921,23.56434,3.69
81,35B,35,B,2,2,1,1,U,9,9,9,9,U,2,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,957,23.56434,3.69
81,36F,36,F,2,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,962,461.0692,72.2
81,37C,37,C,2,1,1,2,11,L,Z,E,W,3,,,,,,,,,135,1,2,13,11,5,1,-35,,,,,,,,,0,1,1081,42.97778,6.73
81,37C,37,C,2,2,1,1,12,F,D,E,W,2,,,,,,,,,64,19,13,12,5,1,0,0,,,,,,,,,0,1,1012,42.97778,6.73
81,38D,38,D,2,1,1,61,U,9,9,9,9,U,2,59,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1080,65.1372,10.2
81,39E,39,E,2,1,1,2,1,F,D,E,W,3,4,3,3,R,D,E,W,1,,,,,,,,,,,,,,,,,0,1,1010,362.0862,56.7
81,39E,39,E,2,2,1,1,12,F,Y,E,W,1,2,31,0,R,D,E,O,1,,,,,,,,,,,,,,,,,0,1,1005,362.0862,56.7
