PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
1.000,79.91,127.73721554,1,0,60D,60,D,3,1,83,30,36,3,1VWAA0171D,1,U,1,14,40,1,6,1,1,1,22,0,1,0,1,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
21.000,1678.11,2351.8208804,1,0,61H,61,H,3,1,82,22,U,2,9999999999,1,U,0,C,35,1,14,1,1,1,U,0,1,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,1,U,0,N,N,1,U
4.429,353.88714286,471.21123216,1,0,62E,62,E,3,1,86,20,17,4,2G1AW19R9G,1,U,0,C,40,1,3,1,1,1,27,0,1,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
7.750,619.3025,750.25331023,1,0,63F,63,F,3,1,85,12,3,3,1FABP28M8F,1,U,0,C,30,7,59,1,1,1,29,0,0,0,0,1,0,151,319,1,11,-11,1,103,1,1,17,0,1,1,4,39,4,1,0
7.750,619.3025,750.25331023,1,0,63F,63,F,3,2,73,14,10,4,3H10H58200,1,0,0,C,30,1,58,1,3,3,39,0,0,0,0,4,0,319,151,1,7,-7,0,160,1,1,11,0,0,1,0,29,3,0,1
1.000,79.91,108.9694832,1,0,64C,64,C,3,1,87,12,15,4,2FABP37X5H,1,U,0,C,35,9,20,1,1,1,25,0,1,0,0,4,0,170,166,1,12,-12,1,155,1,1,17,0,1,U,4,34,6,2,0
1.000,79.91,108.9694832,1,0,64C,64,C,3,2,83,1,9,6,2CCCK3854D,1,0,0,C,35,1,21,1,4,4,34,0,0,0,0,0,1,166,170,1,9,9,1,141,1,1,17,0,2,U,4,25,4,1,0
4.714,376.71857143,501.61195682,1,0,65E,65,E,3,1,88,7,472,20,1B4FK5031J,1,U,0,C,30,6,13,1,1,1,50,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0
1.444,115.42555556,157.40036463,1,0,66C,66,C,3,1,85,21,U,4,9999999999,1,U,0,C,30,U,89,1,1,1,U,0,1,0,0,0,0,260,348,6,U,U,U,U,0,0,U,0,1,U,0,N,N,7,U
1.444,115.42555556,157.40036463,1,0,66C,66,C,3,2,89,9,19,4,1P3BA56K6K,1,U,0,C,30,U,88,1,1,1,28,0,0,0,0,0,0,348,260,6,U,U,U,U,0,1,17,0,1,2,2,U,4,1,U
