PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
51,12G,12,G,3,2,1,1,9,L,B,L,N,1,,,,,,,,,20,2,2,0,1,0,0,-97,,,,,,,,,0,0,1250,590.57625,8.250,850.84063143
51,13B,13,B,3,1,1,2,11,F,D,E,W,3,,,,,,,,,61,6,14,22,27,24,21,0,,,,,,,,,0,1,1049,143.17,2.000,239.4053027
51,13B,13,B,3,2,1,1,1,F,Z,E,W,3,,,,,,,,,72,0,1,5,12,18,28,20,,,,,,,,,0,1,1330,143.17,2.000,239.4053027
51,14F,14,F,3,1,2,2,3,R,Z,E,W,2,,,,,,,,,25,2,3,3,4,3,1,-46,,,,,,,,,0,0,1043,143.17,2.000,197.1532187
51,14F,14,F,3,2,1,3,6,B,D,E,W,1,2,1,12,F,Z,E,W,1,75,3,3,6,5,4,4,-4,74,0,0,2,3,4,5,20,0,0,1175,143.17,2.000,197.1532187
51,14F,14,F,3,3,1,2,12,F,D,E,W,1,,,,,,,,,66,5,11,11,9,11,14,-3,,,,,,,,,0,1,1160,143.17,2.000,197.1532187
51,15F,15,F,3,1,1,2,11,F,Y,E,W,2,,,,,,,,,64,23,9,8,6,2,0,27,,,,,,,,,0,1,1110,143.17,2.000,197.1532187
51,15F,15,F,3,2,1,1,6,R,P,E,W,3,,,,,,,,,65,0,7,6,6,3,0,-10,,,,,,,,,0,0,1043,143.17,2.000,197.1532187
51,16H,16,H,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,64,1,1,1,1,1,1,11,,,,,,,,,0,0,1108,572.68,8.000,675.52813004
51,16H,16,H,3,2,1,1,6,B,D,E,W,1,,,,,,,,,70,1,1,1,2,2,2,-5,,,,,,,,,0,0,1175,572.68,8.000,675.52813004
51,17C,17,C,3,1,1,2,9,L,P,E,W,2,,,,,,,,,82,2,9,7,4,2,0,6,,,,,,,,,0,0,1555,71.585,1.000,98.209291374
51,17C,17,C,3,2,1,1,12,F,D,E,W,2,,,,,,,,,68,4,6,7,8,10,13,0,,,,,,,,,0,1,1040,71.585,1.000,98.209291374
51,18D,18,D,3,2,4,45,9,L,P,A,W,3,2,3,6,R,P,E,W,1,39,1,6,9,10,5,0,16,52,0,1,3,4,1,1,20,1,1,1315,334.30195,4.670,482.24146074
51,18D,18,D,3,3,5,45,0,T,P,D,W,4,2,2,11,L,Y,M,W,1,,,,,,,,,37,0,0,0,1,3,0,74,1,1,1081,334.30195,4.670,482.24146074
51,19E,19,E,3,1,1,2,2,R,Z,E,W,1,,,,,,,,,41,0,0,0,0,1,0,-42,,,,,,,,,0,0,1190,334.30195,4.670,427.98426531
51,19E,19,E,3,2,1,1,11,F,D,E,W,1,,,,,,,,,29,1,0,0,0,0,0,0,,,,,,,,,0,0,866,334.30195,4.670,427.98426531
51,20G,20,G,3,1,1,2,11,F,L,E,W,1,,,,,,,,,59,1,2,0,0,0,0,-21,,,,,,,,,0,0,1102,1002.90585,14.010,1444.8820905
51,20G,20,G,3,2,1,1,1,R,Y,E,W,2,,,,,,,,,30,0,2,3,2,2,0,45,,,,,,,,,0,0,1010,1002.90585,14.010,1444.8820905
51,21B,21,B,3,1,1,2,90,L,Y,A,W,4,,,,,,,,,72,1,24,23,17,10,8,17,,,,,,,,,0,1,1108,71.585,1.000,119.70265135
51,21B,21,B,3,2,1,1,81,F,Y,E,W,4,,,,,,,,,68,40,37,33,23,14,8,-15,,,,,,,,,0,1,1108,71.585,1.000,119.70265135
51,22G,22,G,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1080,214.755,3.000,309.39659325
51,22G,22,G,3,2,1,1,5,B,Z,E,W,1,,,,,,,,,61,0,1,2,2,2,3,16,,,,,,,,,0,0,1014,214.755,3.000,309.39659325
