PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,RATWGT
3," 20E",20,E,6,1,1,22,L,2,9,R,158.66815401
3," 21H",21,H,6,1,1,2,F,56,0,0,273.47451091
3," 21H",21,H,6,2,1,2,R,2,9,F,273.47451091
3," 21H",21,H,6,3,1,2,L,68,0,0,273.47451091
3," 22D",22,D,6,1,1,11,B,2,1,F,24.113910503
3," 23E",23,E,6,1,1,2,R,2,2,F,400.00739053
3," 23E",23,E,6,2,1,2,U,63,0,0,400.00739053
3," 23E",23,E,6,3,1,2,F,57,0,0,400.00739053
3," 24C",24,C,6,1,1,22,R,2,13,F,18.534038915
3," 25F",25,F,6,1,1,9,F,2,9,R,158.86249223
3," 25F",25,F,6,2,2,9,F,57,0,0,158.86249223
3," 26E",26,E,6,1,1,3,F,71,0,0,179.8983413
3," 27F",27,F,6,1,1,5,L,2,1,F,115.1625057
3," 28F",28,F,6,1,1,5,B,2,13,F,130.86527151
3," 28F",28,F,6,2,1,5,F,56,0,0,130.86527151
3," 28F",28,F,6,3,2,13,B,3,3,F,130.86527151
3," 28F",28,F,6,4,3,3,B,4,2,F,130.86527151
3," 28F",28,F,6,5,4,2,B,5,9,F,130.86527151
3," 29F",29,F,6,1,1,2,F,2,13,L,130.86527151
3," 29F",29,F,6,2,2,13,R,71,0,0,130.86527151
3," 30D",30,D,6,1,1,2,L,2,9,F,46.003683452
3," 31F",31,F,6,1,1,5,R,2,4,F,488.513898
3," 31F",31,F,6,2,1,5,F,71,0,0,488.513898
3," 32K",32,K,6,1,1,13,L,2,14,F,14.867766849
3," 32K",32,K,6,2,1,13,R,31,0,N,14.867766849
3," 32K",32,K,6,3,1,13,T,42,0,0,14.867766849
3," 33F",33,F,6,1,1,3,F,2,1,R,224.02043626
3," 34D",34,D,6,1,1,2,B,3,9,F,22.086168112
3," 34D",34,D,6,2,1,2,L,2,4,R,22.086168112
3," 34D",34,D,6,3,1,2,T,31,0,N,22.086168112
3," 34D",34,D,6,4,2,4,L,56,0,0,22.086168112
3," 35F",35,F,6,1,1,1,B,2,1,F,234.5333953
3," 37F",37,F,6,1,1,5,F,2,4,R,518.71398633
3," 38E",38,E,6,1,1,2,B,2,21,F,360.86319122
3," 39G",39,G,6,1,1,3,F,62,0,0,322.38518856
3," 40K",40,K,6,1,1,5,F,56,0,0,14.867766849
3," 40K",40,K,6,2,1,5,R,56,0,0,14.867766849
3," 40K",40,K,6,3,1,5,B,56,0,0,14.867766849
3," 41D",41,D,6,1,1,3,F,2,3,L,67.022486545
3," 42K",42,K,6,1,1,5,B,2,3,F,11.602885615
3," 43G",43,G,6,1,1,4,F,2,9,R,296.60032841
3," 44E",44,E,6,1,1,1,B,2,22,F,232.91548481
3," 44E",44,E,6,2,1,1,F,3,U,B,232.91548481
3," 45F",45,F,6,1,1,2,F,2,3,L,149.10160179
3," 45F",45,F,6,2,2,3,F,71,0,0,149.10160179
3," 45F",45,F,6,3,2,3,R,62,0,0,149.10160179
3," 46F",46,F,6,1,1,2,F,2,3,R,118.42146966
3," 47H",47,H,6,1,1,2,R,2,2,F,318.84057613
3," 48E",48,E,6,1,2,11,B,3,14,F,194.3795287
3," 48E",48,E,6,2,1,2,B,2,11,F,194.3795287
3," 49F",49,F,6,1,1,3,R,2,14,F,124.4326847
3," 50D",50,D,6,1,1,3,F,2,1,F,25.809137298
3," 51F",51,F,6,1,1,9,B,2,5,F,274.06766848
3," 51F",51,F,6,2,1,9,F,3,12,B,274.06766848
3," 52D",52,D,6,1,1,5,F,2,1,R,35.895108863
3," 53H",53,H,6,1,1,1,L,63,0,0,1026.2725922
3," 53H",53,H,6,2,1,1,L,63,0,0,1026.2725922
3," 54E",54,E,6,1,1,14,F,2,1,L,137.15467538
3," 55G",55,G,6,1,1,1,F,2,4,L,122.53019138
3," 56B",56,B,6,1,1,3,L,42,0,0,12.818705825
3," 56B",56,B,6,2,1,3,B,68,0,0,12.818705825
3," 57K",57,K,6,1,1,22,B,2,14,F,17.706329937
3," 57K",57,K,6,2,1,22,F,3,22,B,17.706329937
3," 58J",58,J,6,1,1,1,F,64,0,0,18.534038915
3," 58J",58,J,6,2,1,1,L,2,11,F,18.534038915
3," 58J",58,J,6,3,1,1,R,64,0,0,18.534038915
3," 59D",59,D,6,1,1,2,F,56,0,0,55.709924215
3," 60D",60,D,6,1,1,2,L,2,15,F,17.135603583
3," 60D",60,D,6,2,1,2,F,68,0,0,17.135603583
3," 60D",60,D,6,3,1,2,L,42,0,0,17.135603583
3," 61G",61,G,6,1,1,5,L,64,0,0,253.94067669
3," 62D",62,D,6,1,1,3,B,2,4,F,20.195550733
