PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,HPMS,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
51,252T,252,T,4,5,2,1,1,61,160,40,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,2,0,0,3,0,,6,6,1,1,2,1,0,0,30,0,0,0,0,0,0,9.38,140.43,138.98
51,253F,253,F,4,5,1,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,U,C,U,U,U,U,U,U,U,U,U,U,U,2,2,U,3,2,,0,0,1,3,2,1,0,0,35,U,U,U,U,U,U,8.50,127.25,140.76
51,253F,253,F,4,5,2,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,1,0,0,1,7,0,0,1,0,1,2,2,U,3,2,,0,0,1,3,2,1,0,0,35,0,0,0,0,0,0,8.50,127.25,140.76
51,254M,254,M,4,5,1,1,1,U,U,U,U,U,U,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,2,0,0,0,0,7,0,0,3,0,,0,0,1,1,2,1,2,3,35,0,0,0,0,0,0,9.71,145.37,126.77
51,254M,254,M,4,5,2,1,1,U,U,U,0,0,0,U,U,31,16,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,5,0,0,0,0,0,7,0,0,3,0,,0,0,1,1,2,1,2,3,35,0,0,0,0,0,0,9.71,145.37,126.77
51,255V,255,V,4,5,1,2,1,U,U,U,0,0,0,U,U,1,0,0,0,U,0,1,0,0,0,0,0,1,0,1,15,1,0,2,2,0,0,U,U,U,U,U,5,0,0,3,0,,6,1,1,1,2,1,1,3,40,35,0,0,0,0,0,17.00,254.51,224.85
51,255V,255,V,4,5,2,1,1,61,180,125,0,0,0,0,1,21,16,8,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,5,0,0,3,0,,6,6,1,1,2,1,1,3,40,0,0,0,0,0,0,17.00,254.51,224.85
51,256W,256,W,4,5,1,2,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,1,0,0,0,0,4,3,57,1,1,,1,1,1,1,2,1,0,0,55,0,0,0,0,0,0,34.00,509.01,442.05
51,256W,256,W,4,5,2,2,1,24,20,60,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,1,4,3,57,1,1,,1,1,1,1,2,1,0,0,55,0,0,0,0,0,0,34.00,509.01,442.05
51,257G,257,G,4,5,1,1,1,61,30,400,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,C,1,0,2,4,0,0,1,1,0,0,0,2,1,20,3,1,,0,0,2,3,2,2,0,0,35,0,0,0,0,0,0,11.78,176.36,185.49
51,258R,258,R,4,5,1,2,1,61,150,80,0,0,0,2,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,3,0,0,1,2,0,0,3,0,,6,6,1,1,2,2,0,0,30,0,0,0,24,0,0,35.34,529.08,548.78
51,258R,258,R,4,5,2,1,1,U,U,U,0,0,0,U,U,32,2,0,0,U,0,0,0,0,1,0,0,0,0,0,C,1,1,2,4,1,0,1,0,0,0,0,2,0,0,3,0,,6,6,1,1,2,2,0,0,30,0,0,0,0,0,0,35.34,529.08,548.78
51,259W,259,W,4,5,1,2,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,2,0,0,3,0,,6,6,1,1,2,1,4,3,35,0,0,0,0,0,0,35.34,529.08,459.48
51,259W,259,W,4,5,2,1,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,2,0,0,3,0,,6,6,1,1,2,1,4,3,35,0,0,0,0,0,0,35.34,529.08,459.48
51,260L,260,L,4,5,1,3,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,1,0,0,0,0,0,1,0,1,30,U,U,U,U,U,U,U,U,U,U,U,3,1,6,3,1,,0,0,1,2,1,1,1,3,40,25,0,0,0,0,0,9.21,137.88,143.01
51,260L,260,L,4,5,2,2,1,U,U,U,3,1,1,0,1,31,23,22,0,1,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,5,0,1,2,0,0,2,3,1,6,3,1,,0,0,1,2,1,1,1,3,40,0,0,0,0,0,0,9.21,137.88,143.01
